,index,Season,Daynum,team1,team2,Wloc,Numot,score_diff,fgm_diff,fga_diff,fgm3_diff,fga3_diff,ftm_diff,fta_diff,or_diff,dr_diff,ast_diff,to_diff,stl_diff,blk_diff,pf_diff,ELO,WorL,AdjustO_Diff,AdjustD_Diff,# of Wins_Diff,SOS_DIF,LUCK_DIF,Years Since 2016,Tournament Game
10,2003069,2003,69,1181,1448,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591.1434521851004,1,0.5,-3.3,0,1.37,-0.10300000000000001,3,0
11,2003072,2003,72,1181,1438,0,0,0.115664664,-0.076234568,-0.162077358,0.095238095,-0.241681929,0.480735171,0.378620702,-0.513888889,0.108783069,0.146011396,-0.142156863,-0.05,0.055555556,-0.33942495100000003,1601.0109699457705,1,6.2,-9.1,10,-0.15,-0.055,3,0
12,2003075,2003,75,1181,1268,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609.6950514800344,0,4.4,2.8,5,0.67,0.048,3,0
13,2003079,2003,79,1181,1301,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.9591082166833,0,3.8,-6.5,6,0.63,-0.006999999999999999,3,0
14,2003082,2003,82,1181,1210,0,0,0.161608468,0.118829423,-0.048035853,-0.014285714,-0.264921353,0.184603175,0.128425639,-0.080555556,0.228218695,0.166666667,-0.234931735,-0.583333333,0.189814815,-0.17111760899999998,1586.2867207759084,1,6.3,-3.1,10,0.54,0.06,3,0
15,2003087,2003,87,1139,1181,0,0,0.113547268,0.106100796,0.054725594,-0.946031746,-0.507738095,0.431601732,0.421957672,0.365599313,0.16523676,0.113131313,-0.133333333,-1.323809524,0.383333333,-0.534853176,1594.6379070726944,0,0.3,7.8,0,-6.54,0.10300000000000001,3,0
16,2003090,2003,90,1181,1199,0,0,0.115785043,0.07073875,-0.251915772,-0.764285714,-1.471590909,0.35042735,0.258739177,-0.687678063,0.295087977,0.111733582,0.089978214,-0.219047619,0.50952381,-0.292503987,1604.784231637819,0,14.3,-0.4,10,1.15,0.022000000000000002,3,0
17,2003093,2003,93,1181,1314,0,0,0.127287319,0.101970443,-0.04894287,-0.5166666670000001,-0.493162393,0.321987996,0.197723719,0.20323685,0.327098268,-0.007867495,0.190730838,-0.323232323,0.06031746,-0.08923445,1592.2366299119294,1,7.5,-3.9,7,-1.96,-0.054000000000000006,3,0
18,2003097,2003,97,1155,1181,0,0,0.228697908,0.144832945,0.074187795,0.211111111,0.344583333,0.128037485,-0.039152299,0.071428571,0.032453859,0.303589744,-0.445495681,0.238636364,0.166666667,-0.191729323,1600.1358891265447,0,-8.0,9.7,-9,-3.29,0.055999999999999994,3,0
19,2003101,2003,101,1181,1448,0,2,0.108089669,0.17876344100000002,-0.26447449100000003,-0.966666667,-1.962121212,0.139316239,0.160822511,-0.74537037,0.327495384,0.192752101,0.17703703699999998,-0.952380952,0.422222222,-0.288744589,1608.5004536224374,0,0.5,-3.3,0,1.37,-0.10300000000000001,3,0
20,2003103,2003,103,1181,1438,1,0,0.219383872,0.19490406,0.018270032,0.10479798,-0.190963342,0.246560847,0.245,-0.127578304,0.069295102,0.192857143,-0.376373626,0.403787879,0.30952381,-0.306878307,1598.4390520379682,1,6.2,-9.1,10,-0.15,-0.055,3,0
21,2003107,2003,107,1181,1268,0,0,0.074559188,0.003707824,-0.184919661,0.114316239,-0.15942029,0.116734143,0.196794872,-0.366165414,0.209770115,-0.128205128,0.134126984,-0.377777778,0.19047619,-0.153603706,1606.97865287578,1,4.4,2.8,5,0.67,0.048,3,0
22,2003110,2003,110,1181,1301,0,0,0.157200461,0.08320911,0.097116696,0.119047619,-0.076737272,0.319967794,0.280718954,0.123529412,-0.107936508,0.065953654,-0.645787546,0.342857143,0.177777778,-0.146825397,1616.5254263409026,1,3.8,-6.5,6,0.63,-0.006999999999999999,3,0
23,2003114,2003,114,1181,1210,1,0,0.148691708,0.16935483899999998,-0.154628705,-0.15,-0.250712251,-0.165343915,0.108813701,-0.353846154,0.291666667,0.18068676,0.158788515,0.158730159,0.27777777800000003,-0.078431373,1624.6185350666974,1,6.3,-3.1,10,0.54,0.06,3,0
24,2003118,2003,118,1181,1385,0,0,0.075618842,0.137096774,-0.124882011,-1.333333333,-2.3625541130000003,0.189432789,0.17034632,-0.302188552,0.249573306,0.008928571,-0.097037037,-0.638095238,0.088888889,-0.18136646,1631.5377310095212,0,,,8,,,3,0
25,2003122,2003,122,1181,1199,0,0,0.15713950599999998,0.041818182,-0.067291244,0.06547619,0.045454545,0.4474603170000001,0.287703676,-0.115418895,0.240079365,-0.04788961,-0.002597403,-0.414835165,0.182539683,-0.110570589,1617.8420202699692,1,14.3,-0.4,10,1.15,0.022000000000000002,3,0
26,2003125,2003,125,1181,1314,0,0,0.06573721,0.093137255,-0.047757828,-0.535714286,-1.279220779,0.08686868699999999,0.085119048,-0.098484848,0.179232804,0.156798246,-0.100740741,-0.9,0.031746032,-0.200664705,1624.6782455070559,0,7.5,-3.9,7,-1.96,-0.054000000000000006,3,0
27,2003130,2003,130,1181,1438,2,0,0.153111903,0.08924648800000001,-0.06009587900000001,0.016666667,0.109879336,0.337186103,0.194444444,-0.464646465,-0.023315888,0.122472849,-0.250754148,0.218181818,-0.16296296300000002,-0.311111111,1611.54808625088,1,6.2,-9.1,10,-0.15,-0.055,3,0
28,2003131,2003,131,1181,1314,2,0,0.153508772,0.089285714,0.000583567,-0.171296296,-0.45,0.393581781,0.25862977600000003,0.15042735,0.228699936,0.11870915,-0.082478632,0.248148148,-0.007936508,-0.319088319,1618.501164004643,1,7.5,-3.9,7,-1.96,-0.054000000000000006,3,0
29,2003132,2003,132,1181,1301,2,0,0.06726019,0.04760389,0.006410256,-0.055555556,-0.220959596,0.083333333,0.209320092,0.101731602,0.04,0.08590102699999999,-0.140692641,0.259259259,0.344444444,-0.027609428,1626.2040533424586,1,3.8,-6.5,6,0.63,-0.006999999999999999,3,0
30,2003136,2003,136,1161,1181,2,0,0.134870164,0.118315018,0.070217918,-0.488888889,-0.54978355,0.127530364,0.09375,0.278991597,0.102380952,-0.435016835,-0.240641711,0.429292929,-0.185185185,0.036062378,1634.5025313187964,0,-13.7,8.8,-8,-12.64,0.019,2,0
31,2003138,2003,138,1141,1181,2,0,0.120375951,0.155478395,-0.082486696,-0.439393939,-0.863888889,-0.401098901,0.019679667,-0.925925926,0.025252525,0.189880952,-0.509356725,-0.055681818,-0.683333333,-0.056808688,1642.0612072641245,0,12.1,-10.7,4,13.0,-0.125,2,0
32,2003143,2003,143,1181,1242,2,0,0.035662022,0.054248366,0.033084345,-1.785714286,-1.001831502,0.227272727,0.235119048,0.107655502,0.099603175,-0.005701754,-0.15185185199999998,-0.3666666670000001,-0.134920635,-0.120832772,1652.006581178288,0,21.6,-12.4,10,18.61,-0.028999999999999998,2,0
33,2004019,2004,19,1178,1181,0,0,0.122818773,-0.174313725,-0.109500805,0.19047619,0.390382082,0.591123188,0.650900901,0.119949495,0.033814165,0.021497021,-0.129761905,0.261111111,0.085185185,-0.746031746,1642.1170806822138,0,15.8,-4.3,10,7.41,0.037000000000000005,2,0
34,2004024,2004,24,1181,1334,2,0,0.129694215,-0.073734907,-0.041571094,0.554497354,0.226495726,0.325757576,0.414045282,0.158119658,0.090468612,0.13986014,-0.1,-0.25,-1.777777778,-0.206378719,1649.4076120355442,1,2.9,-13.3,9,3.64,-0.013000000000000001,2,0
35,2004025,2004,25,1181,1251,2,0,0.297441287,0.260670194,0.060803197,0.462962963,0.037393162,0.14458204300000002,0.161172161,0.074009324,0.112535613,0.353323147,-0.405738706,0.368181818,-0.916666667,-0.03644528,1654.4375815815467,1,,,21,,,2,0
36,2004026,2004,26,1181,1345,2,0,0.073289905,0.065742619,-0.137322515,-1.452380952,-0.6714743590000001,0.2996633,0.254166667,-0.377192982,0.211324786,0.15263157900000002,0.18148148100000006,-0.688888889,-0.301587302,-0.044228218,1659.525110395486,0,15.3,-16.9,16,10.32,-0.033,2,0
37,2004030,2004,30,1181,1277,1,0,0.163795626,0.135714286,0.024950022,0.06031746,0.188888889,0.15,0.184233794,-0.119088319,-0.018240045,0.34248366,-0.7170278640000001,0.49912465,0.6630952379999999,-0.17161260600000006,1647.526549961269,1,13.8,-13.0,8,17.71,-0.061,2,0
38,2004033,2004,33,1181,1385,0,0,0.182246717,0.053516314,-0.041214797,0.053968254000000014,-0.14957265,0.395863396,0.364444444,0.020885547,0.213131313,0.199275362,-0.183333333,0.085434174,0.189814815,-0.351237067,1656.5805630641205,1,5.1,-5.3,4,3.01,-0.065,2,0
39,2004041,2004,41,1181,1339,0,0,0.214175367,0.232457912,0.091927141,-0.314285714,0.069082126,0.15,0.077380952,0.203052503,0.095238095,0.151260504,-0.423687424,0.176897177,0.244444444,-0.17954248399999995,1662.6301723966342,1,-16.8,13.2,-13,-13.53,0.071,2,0
40,2004044,2004,44,1181,1343,0,0,0.110029051,0.052601068,-0.021271687,-0.542857143,-0.916666667,0.468434343,0.25026455,-0.26137566100000004,0.049289891,-0.027056277000000004,-0.182088745,0.0,-0.15,-0.110947712,1667.8649749019162,1,-18.1,8.6,-17,0.94,0.049,2,0
41,2004047,2004,47,1181,1400,2,0,0.170883655,0.154671717,-0.221506082,-0.12037037,-0.365914787,0.314444444,0.199061629,-0.811111111,0.383161928,-0.09337232,0.134920635,-0.20555555600000006,0.457142857,-0.23569023600000005,1674.4967729768107,1,18.0,-8.6,8,15.93,-0.053,2,0
42,2004056,2004,56,1172,1181,0,0,0.278563475,0.279176379,0.076006356,-0.15,0.109845871,0.242063492,0.257978279,0.142959964,0.142720307,0.320350242,-0.46011396,0.395833333,0.3722222220000001,-0.178398896,1684.4883349683978,0,10.7,-10.8,10,1.19,-0.127,2,0
43,2004061,2004,61,1155,1181,1,0,0.208300639,0.312563131,0.172099143,-0.361111111,0.17395696100000002,-0.660606061,-0.8707282909999999,-0.038888889,0.087688299,0.301388889,-0.531135531,0.387878788,0.15185185199999998,0.185990338,1689.2287770207224,0,1.4,-6.8,7,-0.14,0.043,2,0
44,2004064,2004,64,1181,1193,0,0,0.257630475,0.17319224,0.020787546,0.329292929,0.259259259,0.35664335700000005,0.52124183,-0.134920635,-0.049382715999999986,0.359006734,-0.8138528140000001,0.5490196079999999,0.211640212,-0.435828877,1695.1176347358967,1,-2.0,-12.3,8,-0.89,-0.01,2,0
45,2004069,2004,69,1181,1438,1,0,0.201971813,0.17857841100000002,-0.08524531,0.322222222,0.082478925,0.129166667,0.159511785,-0.354723708,0.205497835,0.180555556,-0.128290598,0.347222222,0.12962963,-0.196296296,1701.8159013696427,1,9.5,-2.7,8,-1.76,-0.02,2,0
46,2004073,2004,73,1181,1301,0,0,0.13301666,0.0,0.059767263,-0.540740741,-0.385185185,0.573913043,0.509259259,0.351082251,-0.01301664,-0.447368421,-0.395098039,0.227777778,0.266666667,-0.272331155,1707.9030416209634,1,21.2,-7.3,14,9.33,0.024,2,0
47,2004075,2004,75,1181,1448,0,0,0.121658366,0.14748238800000002,-0.083460835,-0.242424242,-0.063888889,0.119353814,0.126216078,-0.088888889,0.214770861,0.35566188200000004,0.023311547,-0.340740741,0.399267399,-0.176810207,1715.2076772385285,1,11.6,-2.9,10,2.32,0.061,2,0
48,2004079,2004,79,1181,1268,1,0,0.095964416,-0.056190476,0.00256665,0.333333333,0.140069425,0.347067669,0.255206972,-0.013333333,0.046153846,0.0,-0.253411306,0.317171717,-0.441666667,-0.08780903699999999,1724.5516479721718,1,6.8,-0.7,4,-0.25,-0.036000000000000004,2,0
49,2004082,2004,82,1181,1207,1,0,0.179017958,0.07750963599999999,-0.139844516,-0.5555555560000001,-0.083660131,0.240467068,0.319949969,-0.25,0.266710486,-0.172149123,-0.159090909,0.19047619,0.6608391610000001,-0.35787037,1731.635852339624,1,3.3,-5.5,9,-1.52,0.063,2,0
50,2004087,2004,87,1181,1199,0,0,0.110760909,0.061520905,-0.112159329,0.06547619,-0.046772069000000006,0.198989899,0.174208145,-0.583333333,0.134444444,-0.014240146,-0.143685004,-0.166666667,-0.550925926,-0.13526570000000002,1737.2425157396674,1,-18.1,8.6,-17,0.94,0.049,2,0
51,2004089,2004,89,1181,1210,1,0,0.097521454,0.093518519,0.021186441,-0.128205128,-0.193191312,0.034207382,0.046296296,-0.001311189,-0.023504274,0.314258312,-0.193084693,-0.303571429,-0.477777778,-0.148787879,1742.7404572890803,1,10.7,-10.8,10,1.19,-0.127,2,0
52,2004094,2004,94,1181,1314,1,1,0.077488907,-0.058769662,-0.173262728,0.074074074,-0.264069264,0.401696911,0.311452117,-0.15555555599999998,0.204365079,-0.091346154,0.10609858,-0.483333333,0.25,-0.166666667,1749.299733836595,1,1.4,-6.8,7,-0.14,0.043,2,0
53,2004097,2004,97,1155,1181,0,0,0.201650653,0.130769231,-0.004273504,0.254545455,-0.127609428,0.304678363,0.07814992,-0.370833333,0.100644122,0.15555555599999998,-0.284313725,0.613756614,0.027777778,-0.011988303999999998,1755.319295279512,0,-2.0,-12.3,8,-0.89,-0.01,2,0
54,2004100,2004,100,1181,1438,0,0,0.149014972,0.111604938,0.049958985,0.106481481,0.154295051,0.216583124,0.243866944,0.40040404,0.240512821,-0.00462963,0.026388889,0.221212121,-0.206349206,-0.204906205,1759.3877505935293,1,9.5,-2.7,8,-1.76,-0.02,2,0
55,2004104,2004,104,1181,1301,0,0,0.078119349,0.092975734,-0.109871535,-1.69047619,-0.786858974,0.33140933100000003,0.273333333,-0.243859649,0.25299145300000003,0.202564103,0.155092593,-0.147222222,-0.5555555560000001,-0.058263305,1763.6201861114587,0,20.1,-10.9,10,13.49,-0.095,2,0
56,2004107,2004,107,1181,1448,0,0,0.081049752,0.0586323,-0.114547251,-0.19047619,-0.35770917700000004,0.246560847,0.209230769,-0.307843137,0.175213675,0.18034188,0.077314815,-0.050925926,-0.361111111,-0.117086835,1750.228758785085,0,11.6,-2.9,10,2.32,0.061,2,0
57,2004111,2004,111,1181,1268,0,0,0.173783185,0.073572341,-0.331585082,0.188888889,-0.266666667,0.321775723,0.197385621,-0.6,0.403653436,0.156018519,0.172118703,-0.433006536,0.462962963,-0.18463768100000005,1737.8437595374262,1,6.8,-0.7,4,-0.25,-0.036000000000000004,2,0
58,2004115,2004,115,1181,1434,0,0,0.211304708,0.214285714,-0.082728592,0.648809524,0.002178649,-0.07201336700000001,-0.1106466,-1.622222222,0.041335515,0.267195767,-0.348412698,0.353535354,0.185185185,-0.082764782,1744.0288855128993,1,3.3,-5.5,9,-1.52,0.063,2,0
59,2004118,2004,118,1181,1199,1,0,0.063999054,-0.05727422,-0.029701856,-0.227777778,-0.08537296,0.424444444,0.431632111,0.284301347,0.112916667,-0.115904139,-0.040935673,-0.319444444,-0.211111111,-0.350877193,1748.7963065933018,1,10.7,-10.8,10,1.19,-0.127,2,0
60,2004121,2004,121,1181,1210,1,0,0.073487694,0.071829405,-0.155882353,-0.35714285700000004,-0.647773279,0.215079365,0.237802198,-0.23092006,0.255555556,0.213675214,0.093611111,-0.162037037,0.111111111,-0.17919863600000002,1753.884222581291,0,6.8,-0.7,4,-0.25,-0.036000000000000004,2,0
61,2004124,2004,124,1181,1314,0,0,0.07356156900000001,-0.042342077,-0.137450121,0.038095238,-0.225555556,0.291666667,0.257355772,-0.540155945,0.052426438,-0.197390913,0.033710407000000005,-0.22592592600000005,0.246031746,-0.125313283,1739.8938102916309,1,9.5,-2.7,8,-1.76,-0.02,2,0
62,2004130,2004,130,1181,1438,2,0,0.16372029,0.101851852,-0.027051561,0.302777778,0.117037037,0.225256769,0.312831613,-0.082539683,0.035092302,0.234265734,-0.201608849,-0.027777778,0.294444444,-0.272950089,1746.6791749866168,1,18.9,-23.5,21,14.24,0.003,2,0
63,2004131,2004,131,1181,1210,2,0,0.112391138,-0.002266724,-0.17651515199999998,-0.096296296,-0.225490196,0.293142043,0.338152697,0.216666667,0.258615137,0.032334087000000004,-0.021428571,-0.746031746,-0.166666667,-0.277518778,1751.8777621380566,1,-7.9,14.4,-7,-12.65,0.113,2,0
64,2004132,2004,132,1181,1268,2,1,0.08438783400000001,-0.009652076,-0.131372549,-0.166666667,-0.556198188,0.344949495,0.294098494,-0.17797888399999998,0.164646465,0.29861111100000004,-0.064126984,-0.137037037,-0.044444444000000013,-0.22364308,1758.736238813473,0,17.0,-14.7,10,15.06,-0.141,2,0
65,2004136,2004,136,1106,1181,2,0,0.200074871,0.17676767699999998,0.08985913300000001,0.109401709,-0.246438746,0.229897661,0.253360215,0.274853801,0.097619048,0.463888889,-0.443434343,0.295707071,0.505555556,-0.123879142,1745.3224938938156,0,-4.3,-5.8,3,3.11,0.01,2,0
66,2004138,2004,138,1181,1371,2,0,0.189421928,0.159985476,-0.119368429,0.325,-0.3769230770000001,-0.049579832,-0.128888889,-0.107142857,0.351428571,-0.004654387,0.078431373,-0.5555555560000001,0.512820513,-0.184632705,1748.9612096409949,1,11.4,-18.3,10,12.43,-0.069,2,0
67,2004144,2004,144,1181,1228,2,0,0.212054394,0.224893268,-0.112318841,0.170238095,0.046052632,0.15301036699999998,0.16025641,-0.6,0.253637227,0.033333333,-0.053113553,0.359848485,0.3666666670000001,-0.15185185199999998,1755.8383020943988,1,8.5,-10.7,10,7.61,0.025,2,0
68,2004146,2004,146,1181,1462,2,0,0.072703151,0.067754468,-0.107084419,-0.398148148,-0.8426622109999999,0.14285714300000002,-0.014285714,-0.6234848479999999,0.103831418,0.216008772,-0.008730159,0.229437229,0.291666667,-0.008333333,1765.3347874832587,1,8.6,-15.3,12,9.94,0.006,2,0
69,2004152,2004,152,1163,1181,2,0,0.06657647900000001,-0.056790123,-0.255997609,-0.166666667,-0.931929182,0.384343434,0.282443482,-0.332040509,0.27922979800000003,0.1875,0.115989975,-0.266666667,0.015079365,-0.189095928,1774.0926716278614,1,1.2,-3.5,1,3.09,0.003,2,0
70,2005019,2005,19,1181,1404,0,0,0.334914378,0.281709021,0.023981554,0.566666667,0.393467643,0.3,0.341091199,0.250321211,0.261599512,0.325980392,-0.078162578,-0.324074074,-0.409090909,-0.147950089,1763.6144926111303,1,-10.0,5.1,-9,-1.68,-0.051,2,0
71,2005021,2005,21,1172,1181,2,0,0.109596902,-0.034302952000000005,-0.13574535699999998,0.035714286,-0.08041958,0.382648953,0.32037037,-0.944444444,-0.020768634,0.209080393,-0.416035354,0.35635198100000004,0.840740741,-0.265497076,1765.746042784799,0,10.3,-14.4,11,13.18,0.015,2,0
72,2005026,2005,26,1181,1422,0,0,0.205245499,0.103921569,0.051565933,0.193981481,0.308441558,0.284345479,0.248929744,0.028571429,0.035689122000000004,0.225305111,-0.6365486370000001,0.387021475,0.316239316,-0.230277778,1770.3517358751403,1,7.3,-11.2,9,6.63,0.042,2,0
73,2005029,2005,29,1181,1277,0,0,0.065514381,-0.052248677,-0.063573377,0.327777778,0.317836753,0.17081164399999998,0.17863247899999998,0.031024531,0.08525641,-0.097402597,0.055555556,-0.6984126979999999,0.438888889,-0.306982052,1772.3685505373612,1,0.9,-7.4,6,0.99,0.059000000000000004,2,0
74,2005033,2005,33,1181,1434,2,0,0.23054067600000006,0.205565243,-0.023916613,0.3,0.033653846,0.086507937,0.096397306,-0.442592593,0.110555556,0.269047619,-0.298039216,0.53030303,0.522222222,-0.115079365,1778.8831166964405,1,8.2,-11.4,11,-0.11,-0.061,2,0
75,2005041,2005,41,1181,1405,0,0,0.165903253,0.072654234,-0.044439025,-0.288888889,-0.5277777779999999,0.388888889,0.311114144,-0.123737374,0.147238514,0.052631579000000005,-0.236111111,-0.211111111,0.5277777779999999,-0.214814815,1782.865572036684,1,5.2,-11.1,9,2.95,0.004,2,0
76,2005043,2005,43,1181,1227,0,0,0.221183225,0.264393858,-0.021994135,0.506349206,0.234989648,-0.038888889,-0.167179487,-0.28148148100000003,0.227564103,0.409055728,-0.241269841,-0.327777778,0.537280702,0.049019608,1786.7639811403296,1,10.8,-9.7,14,1.34,0.067,2,0
77,2005047,2005,47,1181,1328,2,0,0.07852100599999999,0.109615827,-0.104195804,-1.3,-1.08974359,0.151703369,0.15642135599999998,-0.068560606,0.29047619,0.200571895,0.108354219,-0.191666667,0.323809524,-0.14841897199999998,1792.789096598011,1,6.5,-5.9,9,2.3,0.032,2,0
78,2005062,2005,62,1155,1181,0,0,0.158750427,0.093813093,-0.082318124,0.40952381,0.230949198,0.18715495,0.201800615,-1.116993464,-0.011423761,0.286726998,-0.426314426,0.206626707,-0.015873016,-0.034126984,1799.7093035002395,0,10.4,-9.8,10,3.92,-0.038,2,0
79,2005065,2005,65,1181,1343,0,0,0.211431529,-0.05,-0.08737373699999999,-1.111111111,-1.5713869459999998,0.639306105,0.6558843910000001,0.225,0.110766046,-0.300569801,-0.490225564,0.00962001,-1.0555555559999998,-0.557889823,1803.146628525459,1,-8.4,-10.9,-1,0.5,-0.048,2,0
80,2005068,2005,68,1181,1396,0,0,0.064378256,-0.057971014,-0.194598751,0.068783069,-0.042063492,0.29861111100000004,0.252598207,0.006944444,0.303497578,0.406796907,0.401785714,-4.533333333,0.055555556,-0.331932773,1807.9932258204046,1,6.9,-1.1,6,0.13,0.035,2,0
81,2005073,2005,73,1181,1301,1,0,0.103087808,0.124039939,-0.062290391,-0.034511785,-0.193476115,0.021367521,0.034165181,-0.548821549,0.247816797,-0.352046784,-0.053113553,0.111111111,0.222222222,-0.169191919,1811.9175846913238,1,-6.9,-1.5,-2,0.06,-0.013000000000000001,2,0
82,2005076,2005,76,1181,1438,0,0,0.179905517,0.187561343,-0.102766106,0.26031746,0.131403509,0.007038713,0.06980057,-0.20782726,0.233887734,0.392820513,-0.139393939,0.050925926,0.7015873020000001,-0.238508772,1817.454745583942,1,6.5,-5.9,9,2.3,0.032,2,0
83,2005079,2005,79,1181,1274,1,0,0.129112856,0.053091398,-0.24025234,0.276515152,0.137406453,0.261904762,0.212023618,-1.0692640690000002,0.15754689800000002,0.257894737,-0.020940171,-0.216666667,0.222222222,-0.194444444,1821.8690014796146,1,10.4,-9.8,10,3.92,-0.038,2,0
84,2005082,2005,82,1181,1199,1,0,0.136674299,0.12914078699999998,0.053113307,0.023015873,0.122393847,0.054701426,0.141113654,0.211403509,0.175925926,0.22542735,-0.03956229,0.215710216,-0.233333333,-0.185481185,1825.3647243433365,1,-8.4,-10.9,-1,0.5,-0.048,2,0
85,2005086,2005,86,1181,1268,1,0,0.071418129,-0.056790123,-0.181077738,-0.333333333,-0.884920635,0.410533911,0.280538721,-0.108963585,0.245896465,-0.045833333,0.118212197,-0.251515152,-0.16547619,-0.237103175,1828.6818686626648,0,6.9,-1.1,6,0.13,0.035,2,0
86,2005090,2005,90,1181,1439,0,0,0.173203859,0.006545115,-0.147244458,-0.315656566,-0.049905033,0.463540986,0.373625731,-0.512361466,0.20903305,0.254700855,0.051259724000000007,-0.707792208,-0.488888889,-0.55952381,1814.3253445265168,1,,,16,,,2,0
87,2005093,2005,93,1181,1448,0,0,0.054393039,0.025749559,-0.108594078,-0.518518519,-0.799707602,0.248917749,0.184242424,-0.017460317,0.210542929,-0.316666667,-0.036549708,-0.207070707,0.101190476,-0.209325397,1817.93934595754,0,5.2,-11.1,9,2.95,0.004,2,0
88,2005096,2005,96,1181,1210,0,0,0.106301261,0.042298851,-0.022607019,0.345238095,0.116071429,-0.185587762,-0.049439964,0.059041835,0.07776328099999999,0.14331501800000002,-0.016490698999999998,-0.724747475,-0.238095238,-0.081138179,1805.9996197488165,1,-6.9,-1.5,-2,0.06,-0.013000000000000001,2,0
89,2005100,2005,100,1181,1314,0,0,0.096777066,-0.053724054000000014,-0.1172703,0.278787879,0.061901062,0.27777777800000003,0.101668863,-0.367676768,0.017597841,-0.15042735,-0.161111111,0.312962963,0.238095238,-0.072777778,1812.852936585904,1,8.2,-11.4,11,-0.11,-0.061,2,0
90,2005103,2005,103,1181,1268,0,1,0.073559706,0.102002282,0.019674708,-0.985185185,-1.039606592,0.20952381,0.168333333,0.136601307,0.153102453,-0.123015873,-0.224747475,-0.262626263,0.106481481,-0.276268116,1820.4672742600465,0,0.9,-7.4,6,0.99,0.059000000000000004,2,0
91,2005108,2005,108,1181,1439,0,0,0.043889943,0.10295195,0.092190733,-0.901851852,-1.169236222,0.088888889,0.075,0.336601307,0.117260159,0.043650794000000014,-0.14696969699999998,-0.444444444,0.250712251,-0.194160273,1806.3702820191345,0,6.9,-1.1,6,0.13,0.035,2,0
92,2005111,2005,111,1181,1448,0,0,0.064584213,0.068293226,-0.074537968,0.112820513,-0.073254282,-0.09375,0.006887883000000001,-0.332070707,0.100877193,0.153240741,-0.161111111,0.125,0.388888889,0.043478261,1789.8794556721398,1,-22.4,8.3,-18,-14.84,-0.092,2,0
